WMU,Year,Active Hunters,Harvest
2,2012,31,7
2,2013,39,11
2,2014,36,11
2,2015,50,10
2,2016,42,18
2,2017,59,14
2,2018,46,10
2,2019,38,8
2,2020,35,4
2,2021,40,8
2,2022,54,6
2,2023,48,12
3,2012,173,56
3,2013,179,70
3,2014,175,82
3,2015,184,64
3,2016,234,76
3,2017,208,83
3,2018,190,62
3,2019,198,76
3,2020,132,22
3,2021,137,24
3,2022,191,49
3,2023,213,62
4,2012,152,54
4,2013,137,51
4,2014,159,68
4,2015,179,57
4,2016,152,66
4,2017,173,74
4,2018,207,73
4,2019,229,63
4,2020,147,9
4,2021,101,7
4,2022,192,53
4,2023,221,79
5,2012,396,197
5,2013,363,146
5,2014,414,183
5,2015,372,164
5,2016,496,288
5,2017,475,267
5,2018,525,289
5,2019,533,263
5,2020,153,44
5,2021,133,28
5,2022,404,175
5,2023,447,186
6,2012,93,72
6,2013,105,68
6,2014,102,55
6,2015,102,62
6,2016,132,97
6,2017,131,83
6,2018,120,88
6,2019,105,70
6,2020,25,5
6,2021,31,10
6,2022,52,27
6,2023,72,33
8,2012,179,85
8,2013,133,42
8,2014,174,74
8,2015,157,73
8,2016,190,98
8,2017,165,87
8,2018,173,77
8,2019,190,91
8,2020,85,23
8,2021,93,23
8,2022,144,55
8,2023,210,67
10,2012,123,58
10,2013,104,41
10,2014,121,51
10,2015,142,47
10,2016,141,72
10,2017,114,60
10,2018,139,63
10,2019,113,56
10,2020,65,13
10,2021,51,13
10,2022,107,37
10,2023,121,50
13,2012,445,202
13,2013,475,157
13,2014,607,178
13,2015,581,250
13,2016,524,232
13,2017,519,191
13,2018,494,141
13,2019,542,194
13,2020,522,159
13,2021,450,126
13,2022,551,166
13,2023,493,134
14,2012,18,4
14,2013,20,3
14,2014,20,0
14,2015,27,11
14,2016,26,2
14,2017,19,4
14,2018,18,1
14,2019,9,1
14,2020,12,1
14,2021,9,2
14,2022,8,1
14,2023,19,6
17,2012,47,6
17,2013,44,3
17,2014,60,3
17,2015,71,12
17,2016,71,8
17,2017,85,5
17,2018,58,7
17,2019,73,3
17,2020,96,4
17,2021,96,6
17,2022,77,6
17,2023,66,6
19,2012,277,97
19,2013,270,77
19,2014,310,130
19,2015,346,130
19,2016,428,128
19,2017,430,120
19,2018,375,100
19,2019,366,112
19,2020,271,26
19,2021,254,26
19,2022,319,69
19,2023,378,117
22,2012,218,105
22,2013,246,99
22,2014,246,102
22,2015,255,98
22,2016,289,133
22,2017,247,67
22,2018,252,94
22,2019,231,49
22,2020,125,17
22,2021,133,25
22,2022,145,44
22,2023,216,93
23,2012,214,59
23,2013,215,65
23,2014,163,49
23,2015,226,44
23,2016,308,61
23,2017,252,58
23,2018,255,40
23,2019,291,54
23,2020,294,33
23,2021,283,54
23,2022,227,36
23,2023,262,53
24,2012,150,39
24,2013,191,57
24,2014,199,45
24,2015,267,56
24,2016,358,61
24,2017,311,65
24,2018,272,51
24,2019,374,49
24,2020,402,42
24,2021,374,58
24,2022,280,31
24,2023,276,37
25,2012,30,4
25,2013,35,1
25,2014,35,0
25,2015,29,2
25,2016,45,4
25,2017,39,2
25,2018,37,0
25,2019,66,3
25,2020,53,1
25,2021,44,4
25,2022,36,0
25,2023,45,5
26,2012,110,7
26,2013,122,24
26,2014,107,11
26,2015,189,16
26,2016,213,23
26,2017,221,26
26,2018,213,31
26,2019,210,36
26,2020,197,19
26,2021,159,13
26,2022,159,30
26,2023,151,28
27,2012,212,64
27,2013,231,108
27,2014,212,65
27,2015,234,78
27,2016,313,107
27,2017,315,79
27,2018,340,96
27,2019,360,43
27,2020,364,40
27,2021,372,61
27,2022,308,27
27,2023,308,30
28,2012,1089,345
28,2013,1130,318
28,2014,1001,250
28,2015,1171,460
28,2016,1391,441
28,2017,1350,390
28,2018,1204,397
28,2019,1236,236
28,2020,1185,319
28,2021,1223,315
28,2022,1121,169
28,2023,1162,176
29,2012,543,154
29,2013,560,118
29,2014,796,131
29,2015,884,239
29,2016,811,193
29,2017,674,143
29,2018,600,152
29,2019,639,106
29,2020,553,105
29,2021,577,112
29,2022,573,105
29,2023,541,84
30,2012,391,110
30,2013,374,81
30,2014,622,148
30,2015,611,144
30,2016,538,99
30,2017,360,64
30,2018,369,79
30,2019,391,60
30,2020,394,94
30,2021,312,82
30,2022,266,46
30,2023,323,49
31,2012,326,107
31,2013,344,74
31,2014,331,100
31,2015,352,142
31,2016,540,170
31,2017,456,112
31,2018,429,108
31,2019,371,42
31,2020,265,42
31,2021,334,58
31,2022,390,70
31,2023,371,72
32,2012,255,116
32,2013,253,97
32,2014,234,83
32,2015,239,128
32,2016,266,138
32,2017,289,120
32,2018,285,106
32,2019,280,51
32,2020,127,17
32,2021,157,36
32,2022,255,76
32,2023,212,63
33,2012,77,47
33,2013,59,23
33,2014,78,34
33,2015,112,64
33,2016,140,82
33,2017,124,56
33,2018,99,40
33,2019,100,23
33,2020,37,1
33,2021,49,13
33,2022,66,14
33,2023,88,43
34,2012,46,19
34,2013,55,13
34,2014,43,12
34,2015,63,28
34,2016,54,25
34,2017,44,18
34,2018,40,8
34,2019,45,1
34,2020,40,6
34,2021,45,11
34,2022,44,11
34,2023,53,16
35,2012,289,99
35,2013,252,43
35,2014,242,66
35,2015,231,91
35,2016,290,118
35,2017,299,79
35,2018,217,70
35,2019,254,46
35,2020,140,14
35,2021,132,14
35,2022,234,45
35,2023,221,55
36,2012,271,100
36,2013,234,60
36,2014,397,114
36,2015,395,110
36,2016,460,164
36,2017,381,122
36,2018,350,113
36,2019,346,74
36,2020,398,117
36,2021,362,87
36,2022,332,73
36,2023,320,81
37,2012,308,91
37,2013,283,89
37,2014,285,84
37,2015,349,156
37,2016,493,228
37,2017,493,179
37,2018,363,89
37,2019,334,80
37,2020,332,78
37,2021,315,70
37,2022,348,83
37,2023,350,92
38,2012,302,57
38,2013,323,57
38,2014,374,80
38,2015,388,91
38,2016,469,154
38,2017,445,86
38,2018,409,79
38,2019,402,44
38,2020,317,28
38,2021,295,38
38,2022,303,34
